LIBNAME,CITY,STABR,LATITUDE,LONGITUD,log_VISITS,HRS_OPEN,gwr_local_r2,gwr_predictions,gwr_residuals,gwr_std_residuals,gwr_coef_intercept,gwr_coef_log_TOTSTAFF,gwr_coef_log_TOTINCM,gwr_coef_HRS_OPEN,gwr_coef_log_TOTCOLL,gwr_coef_log_TOTSTAFF_cv,gwr_coef_log_TOTINCM_cv,gwr_coef_HRS_OPEN_cv,gwr_coef_log_TOTCOLL_cv
MURRYSVILLE COMMUNITY LIBRARY,MURRYSVILLE,PA,40.45533411,-79.66691433,11.157763661371307,2570,0.8369706676552044,11.048206013877019,0.10955764749428809,0.21118408782396048,9.99090795350682,0.7333211586021857,-0.09097946797706155,-0.0894898003009509,0.9463403212776753,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
GREENSBURG HEMPFIELD AREA LIB,GREENSBURG,PA,40.300283,-79.544611,11.133376610741882,3730,0.841953948022172,11.209207154799183,-0.07583054405730039,-0.1461714872690247,10.001873977397084,0.7621581099882242,-0.12178259872861885,-0.09825373827009969,0.9444250216376809,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
NORWIN PUB LIB ASSOC,IRWIN,PA,40.32228501,-79.69893578,11.195059061341132,2724,0.8345500797142795,11.04370687730034,0.15135218404079254,0.2917475288841465,9.994198304595804,0.7414429989184003,-0.10964306699470139,-0.0855791111442405,0.9410989467318717,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
JEANNETTE PUBLIC LIBRARY,JEANNETTE,PA,40.32822691,-79.6178094,9.564301637217232,2245,0.8386285951238946,9.50322570000319,0.06107593721404214,0.1177304038881762,9.997757894484955,0.7493084130715929,-0.11256943296903558,-0.09181897103541467,0.9436492320439828,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
ADAMS MEMORIAL LIBRARY,LATROBE,PA,40.31491366,-79.38268478,11.253519819470103,3610,0.8483972255282868,11.065995438696808,0.18752438077329536,0.36147330838247616,10.00695226307136,0.7946018544168914,-0.14212061818222702,-0.11624904083835073,0.9522142032054574,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
LIGONIER VALLEY LIBRARY,LIGONIER,PA,40.24337726,-79.23800341,10.878933592018965,2600,0.8537202403418803,10.880527100649605,-0.0015935086306395618,-0.003071658385315085,10.015767351880724,0.8285319122655421,-0.16988008221045178,-0.13213417844438408,0.9547231026927104,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
MONESSEN PUBLIC LIBRARY,MONESSEN,PA,40.16124324,-79.88285448,9.92378025580389,2060,0.8291144850686555,9.212909123303126,0.7108711325007651,1.3702801685787085,9.98689377650482,0.748505214136896,-0.12748438561201372,-0.07645056431889649,0.9275301017558365,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
MT PLEASANT FR PUB LIB ASSOC,MOUNT PLEASANT,PA,40.14903822,-79.54613835,10.149214175850595,2367,0.8424399091036062,9.760873146396257,0.3883410294543381,0.7485688853825373,10.006869355085447,0.767251653662325,-0.13125047433481257,-0.09756742173977662,0.9354026916402053,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
NEW FLORENCE COMMUNITY LIBRARY,NEW FLORENCE,PA,40.38226756,-79.07466047,9.366061246972958,2052,0.8587467248460473,8.885081474641735,0.4809797723312226,0.9271399742938179,10.013283209920594,0.8603932871866897,-0.19145393977984418,-0.15487846465304533,0.9780245871636722,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
PEOPLES LIBRARY,NEW KENSINGTON,PA,40.56520856,-79.76445231,10.480802917570951,3875,0.8341859024950647,10.091925792648194,0.3888771249227574,0.7496022667582243,9.981163661743324,0.7235571143801216,-0.07127717663893449,-0.0866018400940684,0.9389997624052816,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
BELLE VERNON PUBLIC LIBRARY,BELLE VERNON,PA,40.12947901,-79.86568332,9.032409163483521,2212,0.8303399597195018,8.84424982017344,0.18815934331008144,0.36269726661086493,9.988977499102724,0.748199190384725,-0.1277018715254213,-0.07708832460804624,0.9270591354364289,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
SCOTTDALE PUBLIC LIBRARY,SCOTTDALE,PA,40.10227425,-79.58794401,10.366529505448312,2310,0.8411755861922499,9.918033157721869,0.44849634772644364,0.8645246977571773,10.0065491842327,0.762466195731949,-0.13000478051877346,-0.09397248310311353,0.9319796206842512,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
TRAFFORD COMMUNITY PUBLIC LIB,TRAFFORD,PA,40.38548262,-79.76093643,8.472823243680297,1428,0.8322962485315444,8.163313558907562,0.30950968477273477,0.596613033835172,9.98817278645522,0.7370971342347187,-0.10175158896582646,-0.08357073430089493,0.9388489507205613,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
VANDERGRIFT PUB LIBRARY ASSOC,VANDERGRIFT,PA,40.60391187,-79.5647533,8.043663352393944,2224,0.8435847487250046,9.393189126123358,-1.3495257737294146,-2.6013553233226334,9.988086257408796,0.7322763635323516,-0.07355021459907674,-0.10138814771655068,0.9598012650020947,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
BEDFORD SYS ADMIN UNIT,BEDFORD,PA,40.01651975,-78.49583458,10.21178074889202,3610,0.8986663092455678,10.072691275668863,0.1390894732231569,0.2681098417166997,10.040764117189589,0.8454667810684983,-0.08374671038014546,-0.23962903697685278,0.9224276494406204,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
